business_age,annual_turnover,monthly_profit,monthly_expenses,existing_loan_amount,employee_count,credit_score,gst_compliance_score,debt_to_income_ratio,years_with_bank,upi_transaction_volume,loan_approved
10,38748398,171871,95701,8250640,118,526,77,0.65,15,2789053,0
20,18806201,362717,260234,14470115,19,900,100,0.75,1,2190555,0
12,36919502,597582,405170,5803200,290,824,98,0.84,3,132671,0
18,20967307,474417,14273,2779049,244,847,58,0.61,14,4316111,0
7,42794722,742338,379205,7622708,126,608,100,0.28,11,4470798,0
12,15459194,425462,413295,8979527,251,846,69,0.8,15,593539,0
11,37733017,636950,151515,10848187,36,884,57,0.97,3,501625,0
14,30736436,537474,370579,5506360,274,888,90,0.22,2,2944602,1
19,7609931,304995,94313,14997511,73,578,64,0.8,10,4588654,0
16,7608268,197356,213388,156739,102,805,80,0.64,9,592156,0
11,1314586,714965,477103,5893034,40,706,93,0.12,4,3977819,0
8,21796139,503159,518054,14335647,300,762,64,0.12,14,4460612,0
11,27193451,74328,547290,5934200,129,680,57,0.76,12,1705410,0
13,6541198,769839,18896,13657460,53,768,99,0.27,12,4921491,1
19,18700369,545775,524273,8238915,250,634,71,0.71,15,542004,0
3,2576702,449255,430101,13373790,184,606,50,0.22,12,1257419,0
2,12242769,581765,488350,14174589,172,818,84,0.17,2,4904098,1
18,14875195,524549,419681,14326618,292,812,60,0.45,2,1097143,0
17,44476058,443698,167741,12204805,60,586,100,0.48,6,2163304,0
13,2071619,173067,121324,3405667,127,575,72,0.79,9,2260874,0
15,32984141,753003,572709,12062853,226,563,52,0.77,12,801216,0
3,25404193,729985,535617,13896761,27,587,93,0.81,12,4830234,0
5,41543244,505820,32195,3529854,17,688,55,0.77,7,2437842,0
20,35448345,272475,390703,4326035,95,864,60,0.83,7,2355472,0
1,42154052,787755,539386,4691693,52,750,97,0.28,9,4231318,1
7,43814817,491765,111227,11711575,267,784,82,0.4,6,2100151,1
10,27924659,434107,259031,6213207,232,862,97,0.83,14,3447400,0
12,18848086,310342,374764,9559482,78,692,60,0.94,3,2295205,0
6,42119167,496940,40134,10796323,195,536,79,0.7,13,1889148,0
18,42519023,338119,304968,14861823,160,812,53,0.73,2,4474843,0
12,29789618,175231,88691,11592520,215,782,95,0.79,12,1818996,0
6,32484435,555829,380451,8786613,96,593,77,0.45,8,4138936,0
11,33450924,185654,301660,8918377,109,616,90,0.96,2,4356616,0
11,25216535,145330,374388,3147620,135,776,72,0.22,12,4245296,0
8,2831763,217778,216790,2638486,66,587,65,0.2,10,2140783,0
15,10979335,267976,298941,6104343,294,650,85,0.24,5,1663159,0
17,3264771,615438,540339,8863656,74,785,71,0.91,8,3355344,0
1,31772941,787903,242045,8304091,40,696,91,0.62,8,4087101,0
7,29129708,672687,256488,190453,21,554,79,0.53,14,2425636,0
9,48794346,412843,189387,1269676,231,850,81,0.97,15,694109,0
7,26886852,696466,152721,4695138,113,534,51,0.42,3,999969,0
12,7342429,680190,426674,8777069,86,669,95,0.55,2,4524262,0
3,8688794,588249,582625,13647812,89,765,57,0.39,9,1189770,0
